Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,0.000281,0.000284,0.000254,0.000272,0.000272,1686
2017-11-11,0.000270,0.000283,0.000252,0.000263,0.000263,1286
2017-11-12,0.000263,0.000255,0.000246,0.000255,0.000255,2571
2017-11-13,0.000256,0.000265,0.000256,0.000257,0.000257,1866
2017-11-14,0.000258,0.000258,0.000237,0.000240,0.000240,1180
2017-11-15,0.000239,0.000236,0.000207,0.000209,0.000209,1041
2017-11-16,0.000213,0.000231,0.000207,0.000200,0.000200,1134
2017-11-17,0.000201,0.000199,0.000196,0.000196,0.000196,1104
2017-11-18,0.000196,0.000215,0.000195,0.000215,0.000215,4129
2017-11-19,0.000215,0.000218,0.000196,0.000201,0.000201,4739
2017-11-20,0.000202,0.000201,0.000194,0.000198,0.000198,1585
2017-11-21,0.000202,0.000202,0.000194,0.000195,0.000195,674
2017-11-22,0.000197,0.000196,0.000192,0.000195,0.000195,870
2017-11-23,0.000195,0.000196,0.000190,0.000193,0.000193,1044
2017-11-24,0.000195,0.000222,0.000195,0.000208,0.000208,1473
2017-11-25,0.000208,0.000233,0.000206,0.000213,0.000213,1461
2017-11-26,0.000216,0.000218,0.000196,0.000199,0.000199,971
2017-11-27,0.000201,0.000198,0.000186,0.000198,0.000198,2325
2017-11-28,0.000200,0.000199,0.000188,0.000191,0.000191,3617
2017-11-29,0.000191,0.000180,0.000174,0.000177,0.000177,4426
2017-11-30,0.000178,0.000191,0.000178,0.000195,0.000195,3084
2017-12-01,0.000195,0.000198,0.000195,0.000189,0.000189,2630
2017-12-02,0.000189,0.000189,0.000183,0.000188,0.000188,2197
2017-12-03,0.000188,0.000201,0.000185,0.000197,0.000197,3105
2017-12-04,0.000199,0.000223,0.000200,0.000214,0.000214,3537
2017-12-05,0.000215,0.000233,0.000214,0.000218,0.000218,4128
2017-12-06,0.000217,0.000223,0.000183,0.000181,0.000181,2920
2017-12-07,0.000178,0.000191,0.000172,0.000155,0.000155,1581
2017-12-08,0.000155,0.000180,0.000143,0.000171,0.000171,2333
2017-12-09,0.000171,0.000177,0.000168,0.000172,0.000172,1793
2017-12-10,0.000175,0.000179,0.000165,0.000161,0.000161,1246
2017-12-11,0.000163,0.000168,0.000151,0.000160,0.000160,1147
2017-12-12,0.000161,0.000163,0.000156,0.000154,0.000154,1408
2017-12-13,0.000154,0.000167,0.000153,0.000169,0.000169,1733
2017-12-14,0.000169,0.000191,0.000169,0.000191,0.000191,2435
2017-12-15,0.000191,0.000247,0.000181,0.000226,0.000226,2979
2017-12-16,0.000235,0.000240,0.000223,0.000239,0.000239,2770
2017-12-17,0.000239,0.000337,0.000240,0.000301,0.000301,5128
